Temperature,Speed,Load,Ac_Use,Terrain_Slope,Wind_Speed,Driving_Mode,Weather_Condition,Vehicle_Age,Tire_Type,Night_Driving,Urban_Driving,Highway_Driving,Average_Passengers,Cruise_Control_Use,Regenerative_Braking_System,External_Humidity,Road_Condition,Heat_Pump_System,In_Car_Device_Count,Charging_Frequency,Months_Since_Last_Maintenance,Energy_Consumption
2.9486,102.6634,161.1983,1,-0.5226,41.4097,2,2,4.7095,0,1,0,1,1.2327,1,1,5.2794,0,0,2,0.6645,4.6386,20.5995
-4.7791,87.2034,287.7707,1,-0.2906,45.0057,1,1,6.0136,2,1,0,0,4.9569,0,0,80.039,0,0,0,3.1333,11.9707,18.6451
27.6185,57.3349,376.3671,1,4.7176,14.4366,1,0,3.0578,1,1,1,0,2.4918,1,0,44.0126,0,0,0,1.3034,3.0193,22.8871
23.2743,118.465,419.7135,1,2.2745,16.0513,0,1,0.0331,0,0,1,0,1.2051,0,0,47.2234,2,0,3,4.7952,7.5159,20.7318
24.1603,54.6723,297.3305,0,-8.4009,5.0438,2,0,3.5361,1,1,1,1,1.6386,1,1,58.7353,2,1,3,4.3407,2.1545,19.2654
25.8508,48.2391,166.0952,0,-8.6925,38.7205,0,0,4.0483,1,1,1,1,4.4968,1,0,66.0465,0,1,0,1.6911,2.4342,17.2652
-2.0382,69.7939,265.8751,0,-3.8998,13.7845,2,0,7.3309,0,1,0,1,1.8232,1,1,60.864,1,1,3,3.1361,1.2506,15.5191
9.3386,35.1157,414.5176,1,-1.3951,24.0465,0,0,8.5922,1,1,1,0,2.8682,0,1,28.1362,3,1,3,2.6645,0.5644,20.4406
-0.3652,118.0645,265.1437,1,-4.4955,46.4449,0,2,9.6265,0,1,0,0,3.6699,0,1,17.7902,0,1,4,2.7344,9.681,19.7497
29.5241,82.959,378.6123,1,3.0292,37.6108,0,2,3.5179,2,0,0,1,4.8635,1,1,2.8043,2,1,0,0.5659,10.3044,23.0562
19.9319,80.1257,302.8855,0,-6.0978,2.6369,1,1,9.574,1,0,0,1,1.0564,0,0,1.3067,0,1,0,1.5557,0.4723,13.8058
8.2359,89.0217,196.4893,1,4.0828,0.4077,2,0,7.9939,2,0,0,0,2.9503,1,0,88.8855,1,1,0,2.1082,8.9062,22.1367
-2.4577,74.7321,418.4602,0,5.463,39.3704,1,1,0.3084,1,0,0,0,4.9841,1,1,99.4539,3,1,1,2.3788,1.9544,15.4315
7.4393,32.8857,133.6854,1,-7.5136,27.625,1,1,5.9526,2,0,0,0,1.4869,0,0,35.7644,1,0,1,2.2591,4.072,13.0178
8.0073,85.108,309.9561,0,3.0161,36.0167,0,2,3.6564,1,1,0,0,1.4949,0,0,21.3022,2,1,1,6.4196,1.086,12.6415
24.1842,94.4556,183.5564,0,9.2287,7.8408,0,1,0.3401,2,1,0,1,1.3482,0,0,39.9354,1,1,1,0.026,3.088,16.9881
20.5023,67.5074,126.8263,1,-6.1435,43.6024,1,1,5.315,1,0,0,0,3.0314,1,0,10.3249,0,1,0,1.901,6.1604,18.7803
30.4885,98.1566,301.1736,1,8.1861,38.6662,2,1,5.8482,0,1,1,0,2.3936,0,0,62.9717,0,1,4,2.9867,11.4834,30.7302
13.8886,50.4301,299.8249,0,2.121,44.5419,0,0,2.5223,1,0,0,0,3.865,1,1,22.5012,0,0,0,4.1106,5.9981,5.7787
-0.2162,49.9149,382.7604,0,1.8189,17.0548,1,0,9.3988,1,1,1,0,3.2852,1,1,31.7424,0,1,2,6.9755,10.6693,16.365
23.5298,44.5275,397.9003,1,-8.9615,13.7853,2,1,6.1045,0,1,1,1,3.3234,1,0,85.5449,3,0,3,2.8956,0.6593,26.911
25.4314,63.4795,391.1166,0,4.966,7.5866,2,1,1.7596,2,0,1,0,3.0442,0,1,56.9098,2,0,0,0.5261,5.6215,17.6795
17.4511,106.2311,263.8235,1,-0.4345,46.5044,1,0,7.2126,2,1,0,0,4.9683,0,1,13.4819,1,1,0,2.6195,0.8364,18.3484
25.8387,104.5121,352.6759,1,4.4235,8.8415,1,0,4.9914,1,0,1,0,3.1562,0,1,9.5523,1,1,4,5.4049,3.4887,20.6483
14.7518,64.4542,330.7781,0,6.1836,5.9659,2,1,4.7323,1,1,1,1,1.2895,0,0,65.4185,3,1,2,5.5338,0.5803,22.9248
15.9093,83.0207,268.6247,0,0.4759,9.6339,2,1,8.3453,0,1,1,0,2.2888,1,0,16.266,1,1,4,5.829,4.4016,21.3567
12.1016,94.8735,338.8851,1,-4.7271,38.5691,1,0,1.3818,0,0,1,0,4.1227,0,1,19.6803,3,0,2,3.6377,5.1294,16.4253
-3.9832,51.7086,478.8992,0,-7.1686,44.4765,1,0,4.9099,0,0,1,0,3.5138,0,1,60.1787,0,0,4,3.9645,4.1157,10.8393
-0.6843,45.1327,177.1575,0,-6.7899,40.5457,2,0,7.8076,2,0,1,1,3.7358,1,0,91.0576,0,1,1,1.9401,7.3967,18.5619
-3.7428,117.4886,462.3088,1,7.3387,28.1619,0,0,6.6039,0,1,0,0,4.6872,0,1,54.1422,0,0,3,2.5708,6.3611,16.0706
20.4564,85.5802,121.3822,0,-7.5284,49.6942,2,1,0.0541,1,1,1,1,2.7751,0,1,46.8317,0,1,3,2.6742,2.7051,20.1213
7.5742,118.3274,223.3557,0,-2.3061,3.4427,2,0,7.8745,0,1,1,1,1.0781,1,0,85.8676,0,0,1,3.7778,2.565,17.2995
15.3428,60.398,215.2581,0,-3.3145,43.3596,2,0,9.4467,0,1,1,1,4.9604,0,0,29.351,1,0,2,5.935,5.6027,17.2352
31.3027,93.2729,350.546,0,7.3091,21.3857,2,0,7.0467,1,0,1,0,2.8183,1,1,3.458,1,1,2,0.3823,2.9362,21.24
4.9717,50.0343,152.49,1,-0.4461,22.7561,0,2,8.759,2,0,1,1,1.3904,1,1,55.7688,0,1,0,6.4721,6.8491,17.6835
11.4153,53.508,452.939,0,9.9289,6.3797,1,2,3.6081,2,0,1,1,3.1943,0,0,13.1896,1,0,0,6.1299,11.8356,17.66
25.222,76.0712,431.4206,0,4.7411,1.6716,2,0,3.506,0,1,0,1,3.3608,0,0,6.0582,3,1,3,3.7151,0.1922,20.9906
4.1519,58.7656,360.8263,0,7.0185,15.8314,1,1,3.2086,0,1,0,1,3.2573,1,0,9.704,3,0,4,4.7117,4.5782,15.2389
-1.9208,45.0859,283.3655,0,-8.0266,8.7427,1,0,7.3497,1,0,0,0,4.8597,1,0,11.0333,0,0,2,5.6913,9.1655,6.9494
6.5901,53.6593,473.1824,1,-4.938,24.1669,1,0,9.4207,2,0,0,0,2.2785,1,1,65.566,3,0,2,5.5742,3.2428,15.5208
1.4489,33.2174,432.2986,1,-7.2911,7.3665,2,0,8.854,0,1,1,1,1.1381,0,0,58.2389,3,0,3,4.2813,5.845,23.267
32.1879,93.3981,299.7261,1,-0.7276,6.8964,2,0,1.5021,0,0,0,1,4.679,1,1,32.0216,3,0,4,6.7093,2.7917,18.4903
27.3248,74.2905,380.7493,0,4.3657,43.8489,2,2,6.2611,0,0,0,1,1.765,1,1,24.3078,1,1,2,5.96,8.3382,19.2746
20.3362,38.4819,326.772,1,-6.6187,46.0647,0,0,9.9596,1,1,1,1,3.9978,0,1,0.0689,2,1,2,0.1927,1.4633,21.9734
29.8584,45.4525,335.1769,1,-7.3966,48.2108,1,0,2.9537,0,0,0,0,1.816,0,0,15.889,1,1,3,3.9295,9.3403,19.8043
27.1469,39.2281,232.3904,0,2.2922,34.0251,0,2,6.3478,1,0,1,1,4.3159,1,1,57.5514,0,1,3,0.2469,5.8622,19.7587
2.4628,85.1334,284.8338,0,-5.3937,38.5508,0,0,9.0662,2,1,1,0,4.6255,1,1,55.6452,2,1,2,2.8222,2.2835,16.0218
30.7024,38.4789,131.2486,1,-0.4135,41.7892,2,1,8.9955,1,1,1,0,1.4214,1,0,73.6424,0,1,2,0.4606,6.187,28.7557
16.5737,97.8854,242.9395,1,-8.9776,32.9461,1,2,3.2148,2,1,1,1,1.5891,0,1,3.2982,3,0,4,3.0337,11.4027,24.3369
27.2976,31.846,378.3314,0,3.6123,16.5122,1,0,0.9392,1,1,0,0,4.7012,1,1,79.5111,1,1,1,2.1597,10.1119,17.6624
30.8437,52.4438,481.2864,0,0.8263,7.8193,2,1,6.4601,0,0,0,0,4.0828,0,0,58.178,2,0,2,6.2954,11.8135,15.3657
7.7201,110.16,485.2256,0,2.9485,11.8637,2,0,9.4697,0,0,1,1,1.1556,0,1,27.2895,2,0,3,6.1054,3.9582,15.5915
-0.5979,94.6678,322.2891,1,-4.4919,42.0207,0,0,5.0798,2,0,1,0,1.7288,0,0,43.5583,0,1,0,2.0912,11.7985,20.3081
4.1174,36.5671,342.6489,0,-4.4279,34.8049,2,1,4.5771,0,0,0,1,2.6483,1,0,79.9375,1,0,1,4.2444,4.7197,13.0245
12.0843,103.9013,174.2885,1,6.0272,22.7898,0,1,8.6395,0,1,1,0,4.4568,0,1,48.5706,3,1,0,1.8722,6.2955,21.3171
27.7206,74.3732,378.1232,1,4.3712,1.4703,1,1,4.246,0,0,1,0,1.6042,1,1,70.8059,1,1,1,2.2059,7.7164,23.4308
29.4292,106.2105,128.2635,1,1.5946,13.3102,0,0,6.8093,2,0,1,1,3.8966,0,1,40.7443,3,0,0,0.5448,11.3724,19.1289
-4.7219,84.0666,213.8743,0,2.5629,36.4449,2,1,3.8864,1,0,0,0,1.3349,1,0,54.6359,3,1,3,5.7163,9.8548,16.8154
15.4299,91.365,367.3453,1,-8.1191,25.6194,1,1,3.7714,1,0,1,1,2.8687,0,1,83.2829,2,0,2,0.2408,8.8723,22.7003
11.6964,119.4151,224.1241,1,7.1234,21.7766,0,0,1.8781,2,0,1,1,3.916,1,0,49.6654,1,0,0,2.0774,3.5488,19.3022
3.8843,50.9102,119.9387,1,5.3981,15.684,0,0,0.8845,2,0,1,1,1.2589,0,1,56.3121,0,1,3,1.9078,6.4877,19.2819
-0.2054,86.1551,432.7482,1,1.8098,30.3466,1,0,8.8516,0,1,0,0,1.817,0,0,42.2165,3,1,1,3.7044,9.1383,21.9524
8.5046,71.4289,224.132,0,8.3719,48.3193,0,0,1.8122,1,0,1,0,4.1672,1,0,19.0665,0,0,3,1.7265,6.9858,13.0601
32.7164,33.5507,125.2421,1,-6.6272,45.0562,0,2,0.6222,2,1,0,1,1.6541,0,0,97.3461,2,1,3,2.5533,2.2864,22.3712
7.9281,31.3024,129.9153,0,3.7331,1.5249,0,0,5.8231,1,1,1,1,3.6701,1,1,2.0571,0,1,1,2.0368,7.0229,13.651
15.7516,40.7306,200.7035,0,9.2596,24.0477,2,1,5.46,2,1,1,0,3.5687,0,0,12.4205,1,1,0,0.9521,7.5823,22.0039
23.1208,88.4183,171.2064,1,-3.7998,16.4735,2,1,5.6776,2,0,1,0,3.0816,1,0,71.2716,3,0,1,2.2025,6.4218,23.4645
9.5452,81.0447,409.72,1,-9.6942,25.5302,2,0,4.681,0,1,1,0,1.8068,0,0,74.0688,2,1,1,5.2668,8.1747,24.8512
33.8713,79.8087,228.6736,0,4.6973,30.3107,0,1,1.4194,1,1,1,1,2.6678,0,1,15.6415,3,1,4,6.1792,5.6176,17.9776
33.4979,32.8671,421.8783,0,-9.8604,10.0014,1,1,0.2091,1,0,0,1,3.4871,1,0,63.3819,1,0,1,2.185,8.3495,15.3266
5.0713,72.2373,169.5384,0,7.4507,39.0784,0,2,0.4641,2,0,0,0,4.5269,0,0,88.4889,3,0,0,1.2288,4.9745,11.1874
14.8899,113.2161,297.1517,0,-8.874,23.7534,0,2,9.4315,2,0,1,0,4.1914,0,1,80.0366,3,0,4,6.9397,4.8689,12.8094
7.0351,65.7833,375.2149,1,3.0553,49.6003,2,0,5.3185,2,1,1,0,3.4294,0,0,0.4478,0,1,3,4.8271,7.4629,26.3863
6.3936,86.243,360.7963,1,-2.4563,1.2564,2,2,3.9972,2,0,1,1,1.9139,0,0,4.0366,2,0,1,5.3751,10.2642,23.6089
-3.5245,100.1837,340.4518,1,-5.9332,9.486,0,1,4.1083,0,1,0,0,1.8668,0,1,46.6453,0,0,4,1.7049,9.4907,14.5841
19.3826,100.5533,469.9286,1,7.9652,34.4815,2,0,6.522,0,1,0,1,4.2555,1,1,35.2108,1,0,2,3.0219,8.0237,24.5632
15.1072,76.7352,191.4101,0,4.9249,34.759,0,0,3.7666,2,1,0,1,3.6577,0,0,9.3268,2,1,3,4.6021,9.1192,16.0439
-2.9408,107.2157,297.4877,0,-3.1912,29.1094,2,1,7.9646,0,0,0,0,2.4322,1,0,19.2786,0,1,2,1.6109,3.9288,16.0282
6.1459,65.224,453.597,1,-4.3169,48.598,0,1,2.5994,1,1,0,1,4.8859,0,0,94.2991,0,0,4,1.7581,7.1099,22.1701
31.3306,109.9824,131.1575,1,4.7202,20.7658,0,1,3.6726,1,1,1,1,4.559,1,1,36.791,3,0,1,6.5544,3.8156,20.1713
4.5825,51.6204,122.3553,1,6.7314,20.8518,1,1,9.35,2,0,0,0,3.686,0,1,22.1296,2,0,0,0.6295,9.4147,14.4857
0.7958,55.2195,193.3209,0,4.317,45.5238,2,2,2.6028,0,0,1,0,2.4769,0,1,16.1968,3,0,3,4.54,2.1963,13.7559
14.5781,34.7809,353.2085,1,2.7998,26.9221,1,1,6.6159,0,1,1,0,2.235,1,1,59.0261,2,0,4,3.5236,0.1784,19.4427
34.426,101.6024,203.9519,0,-5.4415,17.6864,2,0,3.6457,2,0,1,1,4.7575,1,1,46.4478,2,0,1,4.9584,8.8417,17.7745
4.6822,67.535,176.096,0,7.0561,35.9469,2,2,4.712,0,1,0,0,2.7739,1,1,34.1137,3,1,4,1.8302,0.7499,19.1177
21.8854,50.6205,283.5209,0,4.9932,30.9835,2,0,0.4519,1,1,1,0,4.2001,0,1,36.8133,1,1,0,0.0447,4.5653,18.5292
25.4648,50.8611,345.4392,0,0.3455,15.3205,1,1,1.6723,1,0,1,0,4.7589,0,1,20.2167,1,1,3,0.0641,7.4474,18.791
4.5055,111.126,199.4231,1,0.2318,14.8964,2,1,1.0191,1,0,1,0,2.968,0,0,74.6403,0,1,4,6.2987,11.8881,24.4412
24.1287,105.0525,220.2765,0,1.3835,19.7806,0,0,8.4472,1,0,0,1,3.6124,1,1,74.8673,0,1,1,5.6455,5.5996,11.8842
9.7113,79.8178,345.4237,0,6.5655,3.581,0,0,9.6169,2,1,1,0,1.345,0,1,3.247,0,1,1,4.7242,8.688,15.1257
20.2922,85.45,478.2954,1,4.8452,47.1308,2,1,0.6797,0,1,0,0,3.6103,0,1,21.5246,3,0,4,0.9522,10.2729,26.1585
20.3412,72.6893,369.8967,1,7.1249,9.151,2,2,0.7685,0,1,0,1,1.8603,1,0,6.1464,1,0,0,3.9593,9.7338,23.1183
16.431,65.25,413.1617,0,0.1457,9.6912,2,1,5.5217,1,0,0,0,3.6821,0,1,8.7721,1,1,1,2.1028,10.5515,15.565
-1.3884,112.3929,246.724,1,2.493,32.3519,2,2,5.0403,0,0,0,0,1.4042,1,0,95.7366,2,0,0,1.335,6.6149,21.5324
28.4121,41.3051,208.9017,1,7.0914,36.2124,2,1,6.5057,1,0,1,1,2.9808,1,0,45.5051,0,1,1,1.6978,11.9221,28.6131
7.8312,67.6602,281.7071,0,-5.3536,36.8418,2,2,7.3681,2,0,1,0,3.0841,1,0,19.9427,1,0,2,1.5624,10.6802,20.4099
2.4607,61.0106,422.8531,1,-1.1196,18.7538,1,1,7.9722,2,0,0,0,2.9341,1,1,96.55,1,0,0,4.5192,3.9809,15.1214
-3.369,74.8336,282.5199,0,2.413,43.6664,0,0,1.4908,2,1,0,0,4.0269,0,1,47.6087,1,0,0,3.9819,5.8265,7.744
18.6357,71.1869,438.6902,0,8.3029,27.2,2,0,0.3784,1,0,1,0,4.0181,1,1,68.5214,0,1,3,1.1562,4.8761,21.0766
22.1026,76.7001,495.5088,1,-9.6833,21.9294,1,1,8.8916,1,1,1,1,3.8255,0,1,95.7371,3,1,4,4.1941,7.7794,29.1219
-4.3365,42.5927,128.8107,1,-5.7485,40.5193,1,1,4.6954,2,1,1,1,3.5265,0,0,92.9787,3,1,4,2.0517,7.6405,26.5894
15.4837,76.1827,118.1641,1,-5.311,12.1781,2,2,9.7124,0,1,0,1,4.6176,1,1,96.4462,1,1,0,3.0006,1.5497,21.3954
